Minisector,OCO,HAM,Fastest
0,267.1841107287267,270.8182254730159,HAM
1,286.81421973333335,292.7723584059321,HAM
2,292.6666676210526,301.8255024453637,HAM
3,124.13723919817181,134.6069783126121,HAM
4,191.3188164361059,197.41291843280325,HAM
5,251.3786024607108,255.58313508571428,HAM
6,137.70993014041363,148.16885207043984,HAM
7,201.1599463108949,208.401853614652,HAM
8,256.28333280000004,260.36854956658766,HAM
9,274.9911194395665,279.21204590018556,HAM
10,235.7759120608195,239.50102949869074,HAM
11,178.69218984889847,193.0552000257574,HAM
12,188.13244700738528,188.62796922823776,HAM
13,151.77693725031367,152.17819967219327,HAM
14,179.64859114217572,183.88207820125902,HAM
15,161.47523158009744,169.20914475924343,HAM
16,213.75129964016207,217.91182566893292,HAM
17,230.5413787055885,236.1103123382246,HAM
18,232.69063018408656,240.14561855303782,HAM
19,239.35985037575756,252.3624993015873,HAM
20,142.44366577234928,146.2811712002787,HAM
21,132.66349102199425,143.01363341731232,HAM
22,167.34954927546434,172.88393441254547,HAM
23,148.6734490695178,155.68992870877597,HAM
24,223.74999795555553,225.6209839642498,HAM
25,253.14999893333334,256.6250016,HAM
