Minisector,ALO,STR,Fastest
0,246.2112361734369,250.34847826497355,STR
1,209.7656442408791,206.1336555097345,ALO
2,209.78064279914886,209.71968672435375,ALO
3,259.1528531652525,261.9302412303345,STR
4,274.66577920480705,273.4385912152381,ALO
5,291.0426171248485,289.3985911032381,ALO
6,155.19665324085506,152.8122999876886,ALO
7,183.8334137452519,187.3979643001371,STR
8,271.68799228887906,266.7206521261008,ALO
9,305.14717510442773,291.4978520070172,ALO
10,314.1227886541944,301.90143995791385,ALO
11,298.5983092397661,297.253703969161,ALO
12,108.21635133646751,111.89152877191175,STR
13,197.0431691168899,186.65914923715886,ALO
14,278.85216007885714,268.10617396363637,ALO
15,309.16229382633054,291.17804697988544,ALO
16,313.7820249433297,293.7211304821818,ALO
17,182.37884793147504,184.66972900196419,STR
18,223.28529542312927,214.8727684842328,ALO
19,258.4945896185034,255.10236509890072,ALO
20,147.99778991952022,152.6329485458503,STR
21,144.21364548244898,145.39597380243188,STR
22,219.9795187156374,215.34706659896162,ALO
23,223.569964010199,228.2374542904762,STR
24,148.84058295505574,159.61610865706922,STR
25,225.54000128,227.56818036363634,STR
