Minisector,BOR,COL,Fastest
0,282.83424533074975,283.39074055962476,COL
1,301.9173807475132,297.5659316085691,BOR
2,280.1714120968152,275.8440488268607,BOR
3,158.19100329860893,169.42309442439927,COL
4,111.7039969239339,113.12125948976113,COL
5,241.9301784345116,237.23221231900303,BOR
6,283.8993549549206,286.30445303081416,COL
7,289.28341500040403,294.37693747658403,COL
8,170.96251766830935,176.07337223988358,COL
9,135.49359095920485,130.70264319188703,BOR
10,250.57632775703703,246.73864118627463,BOR
11,292.81751358535234,291.67892402283707,BOR
12,294.7027063343377,293.84318351619044,BOR
13,265.55080272626327,264.3863619303619,BOR
14,283.14970800813626,282.0492412251088,BOR
15,278.88153918787503,279.3264242715151,COL
16,236.11120251114062,242.68176535736262,COL
17,217.12651119544114,208.80646609773976,BOR
18,280.5045616725333,268.57581597074096,BOR
19,307.07363871255313,295.0376416064227,BOR
20,307.0303713916215,298.038750144,BOR
21,218.30668398467998,220.88413959202688,COL
22,232.77464374142613,229.26570610609272,BOR
23,130.23145370885936,134.6696411547619,COL
24,204.89707124342948,196.35891216994318,BOR
25,,255.9000007111111,COL
